CUI,SNIP,NOMBRE DE LA INVERSIÓN,ESTADO DE LA INVERSIÓN,TIPO DE INVERSIÓN,UNIDAD EJECUTORA DE INVERSIONES (UEI),COSTO DE INVERSIÓN VIABLE / APROBADO,COSTO DE INVERSIÓN ACTUALIZADO,COSTO TOTAL DE LA INVERSIÓN ACTUALIZADO,¿TIENE EXPEDIENTE TÉCNICO O DOCUMENTO EQUIVALENTE?,AVANCE FINANCIERO ACUMULADO,DEVENGADO ACUMULADO AL 2024,¿SE ENCUENTRA PROGRAMADO EN EL PMI?,PIM 2024 EN AVANCE FINANCIERO,PIM 2024,PIM 2023,PIM 2022
2045796,2045796,CONSTRUCCION INFRAESTRUCTURA PARA LA ATENCIÓN Y REHABILITACIÓN A PERSONAS CON DISCAPACIDAD EN LA REGIÓN CUSCO,ACTIVO,PROYECTO DE INVERSION,UEI GERENCIA REGIONAL DE GESTION DE PROYECTOS,"5,546,117.00","8,388,664.87","8,388,664.87",SI   ,82.9 %,"6,955,802.24",SI   ,0.00,0.00,"294,600.00","680,990.00"
2046984,2046984,"AMPLIACION DE DEFENSAS RIBEREÑAS DE LA CIUDAD DE HUANCABAMBA, PROVINCIA DE HUANCABAMBA - PIURA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA GOBIERNO REGIONAL PIURA,"9,527,577.00","21,243,820.06","21,243,820.06",SI   ,93.5 %,"19,870,244.37",NO,0.00,No info. disponible,0.00,No info. disponible
2047402,2047402,"AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA Y ALCANTARILLADO DE LA CIUDAD DE TOCACHE, PROVINCIA DE TOCACHE - SAN MARTIN",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE TOCACHE,"40,216,980.00","156,167,108.22","158,945,984.22",SI   ,22.6 %,"35,979,486.42",SI   ,"5,097,765.00","5,097,765.00","64,349,894.00","111,410,206.00"
2050413,2050413,"CONSTRUCCION DEL SISTEMA DE IRRIGACION - REPRESA PALLCCA EN EL DISTRITO DE QUINUA, PROVINCIA DE HUAMANGA - AYACUCHO",ACTIVO,PROYECTO DE INVERSION,UEI DEL PROGRAMA REGIONAL DE IRRIGACIÓN Y DESARROLLO RURAL INTEGRADO,"22,009,723.00","49,168,142.03","51,383,601.03",SI   ,99.3 %,"51,042,578.61",SI   ,"2,181,403.00","2,181,403.00","4,464,116.00","11,737,852.00"
2058223,2058223,"CONSTRUCCION, MEJORAMIENTO DE LA I.E. NRO 36302 C.C. PACCHACC, DISTRITO DE ACORIA - HUANCAVELICA - HUANCAVELICA",ACTIVO,PROYECTO DE INVERSION,,"743,128.00","629,072.68","629,072.68",NO,95.1 %,"598,232.18",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2064152,2064152,"CONSTRUCCION DE LA CARRETERA TRIO RIO – RIO BLANCO, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE KUMPIRUSHIATO - CUSCO,"4,011,078.00","5,152,582.63","5,152,582.63",SI   ,82.8 %,"4,263,775.92",SI   ,0.00,No info. disponible,No info. disponible,No info. disponible
2065907,2065907,"MEJORAMIENTO DEL SISTEMA INTEGRAL DE AGUA POTABLE DE CAJARURO Y CASERIOS, DISTRITO DE CAJARURO - UCTUBAMBA - AMAZONAS",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE CAJARURO,"20,395,718.00","22,556,668.77","22,556,668.77",SI   ,101.6 %,"22,915,491.64",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2067712,2067712,"CONSTRUCCION DE LA PAVIMENTACION DE LAS VIAS URBANAS DE LA ZONA ESTE DE LOS BAÑOS DEL INCA, DISTRITO DE LOS BANOS DEL INCA - CAJAMARCA - CAJAMARCA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE LOS BAÑOS DEL INCA,"3,389,287.00","6,659,747.49","6,659,747.49",SI   ,80 %,"5,328,834.37",SI   ,"1,076,331.00","1,076,331.00","1,788,957.00","2,617,280.00"
2070690,2070690,"MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCIÓN DEL SANEAMIENTO BASICO DE LOS SECTORES DE JAZÁN, LA VILLA, BARRIO BELLAVISTA Y BARRIO EL PORVENIR, DISTRITO DE JAZAN - BONGARA - AMAZONAS",CERRADO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE JAZAN,"2,976,338.00","3,116,533.43","3,116,533.43",SI   ,85.9 %,"2,677,619.24",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2074968,2074968,"FORTALECIMIENTO DE LA CRIANZA DEL CUY EN LA , PROVINCIA DE MARISCAL NIETO - MOQUEGUA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE MARISCAL NIETO,"4,445,552.00","5,736,326.19","5,736,326.19",SI   ,39.7 %,"2,274,914.8",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2079141,2079141,"AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA Y DESAGUE URCOS, PROVINCIA DE QUISPICANCHIS - CUSCO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE QUISPICANCHI,"5,908,100.00","9,120,676.06","9,120,676.06",SI   ,88.9 %,"8,110,361.4",SI   ,0.00,No info. disponible,No info. disponible,No info. disponible
2079199,2079199,"MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE, DESAGUE Y PLANTA DE TRATAMIENTO EN EL CENTRO POBLADO DE HUYRO , DISTRITO DE HUAYOPATA - LA CONVENCION - CUSCO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE HUAYOPATA,"5,655,344.00","8,649,443.49","8,649,443.49",SI   ,90.8 %,"7,857,092.62",SI   ,0.00,No info. disponible,"201,956.00","201,956.00"
2079627,2079627,"CONSTRUCCION DE DEFENSA RIBEREÑA Y ENCAUZAMIENTO DEL RIO ILABAYA Y LOCUMBA EN LOS SECTORES DE CHEJAYA, ILABAYA, MIRAVE Y OCONCHAY, DISTRITO DE ILABAYA - JORGE BASADRE - TACNA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE ILABAYA,"69,231,243.00","69,894,111.2","71,047,611.12",SI   ,22.8 %,"16,221,482.19",SI   ,"557,856.00","557,856.00","871,086.00","239,443.00"
2080973,2080973,"CONSTRUCCION DEL COLISEO MUNICIPAL EN EL DISTRITO, PROVINCIA DE ESPINAR - CUSCO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE ESPINAR,"12,558,407.00","21,585,700.28","21,585,700.28",SI   ,97.5 %,"21,043,400.82",SI   ,"250,000.00","250,000.00","178,767.00","2,217,005.00"
2081070,2081070,"MEJORAMIENTO DEL MURO PERIMETRICO Y SERVICIOS HIGIENICOS DEL CEMENTERIO GENERAL DE LA OROYA, PROVINCIA DE YAULI - JUNIN",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE YAULI - LA OROYA,"291,925.00","408,487.47","742,330.32",SI   ,47 %,"348,842.85",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2082408,2082408,"MEJORAMIENTO DE LOS SERVICIOS DE MANTENIMIENTO DE INFRAESTRUCTURA PUBLICA, EJECUCION DE OBRAS Y ATENCION DE EMERGENCIAS DE LA MUNICIPALIDAD DISTRITAL DE CIUDAD NUEVA, DISTRITO DE CIUDAD NUEVA - TACNA - TACNA",CERRADO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE CIUDAD NUEVA,"5,811,398.00","6,231,079.29","6,231,079.29",SI   ,42 %,"2,617,526.48",NO,0.00,No info. disponible,0.00,"1,348,214.00"
2083163,2083163,"MEJORAMIENTO DE INFRAESTRUCTURA DE LA INSTITUCIÓN EDUCATIVA ALTO ACHAHUI N° 56396 DE LA CC. DE ACHAHUI, DISTRITO DE COPORAQUE - ESPINAR - CUSCO",ACTIVO,PROYECTO DE INVERSION,,"636,622.00","876,153.58","876,153.58",NO,96.4 %,"844,359.17",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2090887,2090887,DRENAJE PLUVIAL DE LA CIUDAD DE JULIACA,ACTIVO,PROYECTO DE INVERSION,PROGRAMA NACIONAL DE SANEAMIENTO URBANO,"131,144,430.00","208,408,418.46","211,129,136.64",SI   ,40.6 %,"85,678,042.23",SI   ,"2,323,795.00","2,323,795.00","1,105,794.00","4,722,183.00"
2091595,2091595,"CONSTRUCCION DEL SISTEMA DE RIEGO PRESURIZADO EN EL ANEXO DE HIGUERANI, DISTRITO DE ILABAYA - JORGE BASADRE - TACNA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE ILABAYA,"3,058,757.00","3,528,888.29","3,528,888.29",NO   ,89.3 %,"3,149,875.83",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2092478,2092478,"REPRESAMIENTO DE LAS LAGUNAS CALLAUPARAC Y CHUCUNI - YANCAO, DISTRITO DE IHUARI - HUARAL - LIMA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA DIRECCION REGIONAL DE AGRICULTURA DEL GOBIERNO REGIONAL LIMA,"2,391,434.00","15,257,151.24","15,257,151.24",SI   ,13.9 %,"2,126,341.54",SI   ,"5,759,943.00","5,759,943.00","3,784,771.00",No info. disponible
2094208,2094208,IMPLEMENTACION DE LA VISITA TURISTICA NOCTURNA A LOS PRINCIPALES MONUMENTOS DEL COMPLEJO ARQUEOLOGICO DE PACHACAMAC,ACTIVO,PROYECTO DE INVERSION,PLAN COPESCO NACIONAL,"3,871,455.00","3,903,025.91","4,319,304.13",SI   ,99.2 %,"4,285,807.26",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2094322,2094322,"CONSTRUCCIÓN E IMPLEMENTACIÓN DE AULAS Y BIBLIOTECA DE LA FACULTAD DE INGENIERÍA GEOLÓGICA, METALÚRGICA Y MINERA DE LA UNI",ACTIVO,PROYECTO DE INVERSION,UNI - CENTRO DE INFRAESTRUCTURA UNIVERSITARIA,"5,298,527.00","9,795,621.57","9,795,621.57",SI   ,97.3 %,"9,528,511.75",NO,0.00,No info. disponible,"225,975.00","343,890.00"
2094971,2094971,"REHABILITACION DEL EJE VIAL N° 01 PIURA - GUAYAQUIL, PERU - ECUADOR, 21 INTERVENCIONES SECTOR PERU",ACTIVO,PROYECTO DE INVERSION,dirección de puentes de pvn,"328,910,414.00","337,962,988.4","337,971,429.79",SI   ,97.7 %,"330,052,661.11",SI   ,"3,202,605.00","3,202,605.00","203,479.00","81,874.00"
2096288,2096288,"CONSTRUCCION CARRETERA RUMICHACA-ESPINCO-WEQWES, DISTRITO DE CHUNGUI - LA MAR - AYACUCHO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE CHUNGUI,"2,519,204.00","2,519,204.00","2,519,204.00",NO   ,9.4 %,"237,321.85",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2096639,2096639,"INSTALACION DEL DERVICIO DE AGUA PARA RIEGO EN LA COMUNIDAD DE IGLESIAHUASI DEL, DISTRITO DE PARAS - CANGALLO - AYACUCHO",ACTIVO,PROYECTO DE INVERSION,UEI PROGRAMA SUSECTORIAL DE IRRIGACIONES,"8,884,395.00","9,899,544.35","9,899,544.35",SI   ,62.9 %,"6,225,148.2",SI   ,"580,526.00","580,526.00","967,851.00","689,526.00"
2096763,2096763,"INSTALACION DEL SERVICIO DE PROTECCION CONTRA INUNDACIONES MARGEN DERECHA DEL RIO UPRAGA EN EL BARRIO DE SAN JOSE, DISTRITO DE TICRAPO, PROVINCIA DE CASTROVIRREYNA - HUANCAVELICA",CERRADO,PROYECTO DE INVERSION,GERENCIA REGIONAL DE INFRAESTRUCTURA,"298,441.00","411,310.94","411,310.94",SI   ,97.8 %,"402,205.09",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2097765,2097765,"CONSTRUCCION DE MURO DE CONTENCIÓN EN VIAS DEL AA.HH. VILLA EL CARMEN DEL EJE ZONAL LA UNIFICADA, DISTRITO DE INDEPENDENCIA - LIMA - LIMA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,"132,692.00","477,700.5","477,700.5",SI   ,38.9 %,"185,930.88",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2097898,2097898,"CONSTRUCCION DE MUROS DE CONTENCIÓN EN LOS PJES. ALFONSO UGARTE Y DANIEL ALCIDES CARRIÓN DEL AA.HH. 4 DE DICIEMBRE DEL EJE ZONAL TÚPAC AMARU, DISTRITO DE INDEPENDENCIA-LIMA-LIMA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,"1,102,543.9","1,554,565.2","1,554,565.2",SI   ,61.3 %,"952,178.28",NO,0.00,No info. disponible,No info. disponible,"602,029.00"
2098231,2098231,"CONSTRUCCION DE PISTAS Y VEREDAS EN CALLES DEL SECTOR PARTE ALTA DE LA LOCALIDAD DE CHIRINOS, DISTRITO DE CHIRINOS - SAN IGNACIO - CAJAMARCA",CERRADO,PROYECTO DE INVERSION,,"1,182,578.15","1,343,050.95","1,343,050.95",SI   ,107.4 %,"1,442,943.75",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2102471,2102471,"MEJORAMIENTO DEL SERVICIO EDUCATIVO EN LA INSTITUCION EDUCATIVA PRIMARIA E INICIAL DE LA LOCALIDAD DE ATASPAYA , DISTRITO DE CARUMAS - MARISCAL NIETO - MOQUEGUA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE CARUMAS,"1,283,628.00","1,965,166.17","1,965,166.17",SI   ,94.2 %,"1,850,643.94",NO,0.00,No info. disponible,"95,602.00","58,991.00"
2106687,2106687,MEJORAMIENTO Y AMPLIACION DE LA PROVISION DE AGUA PARA DESARROLLO AGRICOLA EN EL VALLE DE TACNA - VILAVILANI II - FASE I,ACTIVO,PROYECTO DE INVERSION,gerencia de infraestructura del proyecto especial afianzamiento y ampliación de los recursos hidricos de tacna,"262,000,000.00","297,276,894.42","297,276,894.42",SI   ,31.9 %,"94,769,341.91",SI   ,0.00,No info. disponible,"6,752,161.00","2,821,358.00"
2107875,2107875,"MEJORAMIENTO DEL SERVICIO DE AGUA DEL SISTEMA DE RIEGO QUERCO - QUICHUA, DISTRITO DE QUERCO, PROVINCIA DE HUAYTARA - HUANCAVELICA",ACTIVO,PROYECTO DE INVERSION,UEI GERENCIA SUB REGIONAL DE HUAYTARA,"2,117,150.00","3,434,140.48","3,434,140.48",SI   ,99.3 %,"3,411,621.27",NO,0.00,No info. disponible,No info. disponible,"16,300.00"
2108006,2108006,"MEJORAMIENTO DEL SERVICIO EDUCATIVO DE LA I. E. DE EDUCACION PRIMARIA NRO. 43094 DE LA LOCALIDAD DE YANAHUARA, DISTRITO DE ICHUÑA, PROVINCIA GENERAL SANCHEZ CERRO, MOQUEGUA",ACTIVO,PROYECTO DE INVERSION,,"888,021.00","1,105,442.51","1,105,442.51",SI   ,118.1 %,"1,305,284.84",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2108284,2108284,FORTALECIMIENTO DE UNIDAD DE EQUIPO MECANICO DEL GOBIERNO REGIONAL DE TACNA-SEDE CENTRAL,ACTIVO,PROYECTO DE INVERSION,GERENCIA REGIONAL DE INFRAESTRUCTURA,"49,431,906.00","52,807,198.89","52,807,198.89",SI   ,98.7 %,"52,117,547.34",NO,0.00,No info. disponible,"70,367.00","10,800.00"
2110421,2110421,"REHABILITACIÓN DE LA CARRETERA EMPALME PE-38 TARATA - CANDARAVE - EMP.PE-36A (BINACIONAL), TRAMO: CANDARAVE - EMP. CARRETERA BINACIONAL KM. 143+500",ACTIVO,PROYECTO DE INVERSION,,"9,404,121.00","10,333,638.15","10,333,638.15",SI   ,94.4 %,"9,760,116.21",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2110606,2110606,CONSTRUCCION CENTRO CULTURAL DEPORTIVO DE LA PROVINCIA DE VILCASHUAMAN - AYACUCHO,ACTIVO,PROYECTO DE INVERSION,UEI DE LA GOBIERNO REGIONAL AYACUCHO,"3,092,934.00","6,108,333.00","6,108,333.00",SI   ,94.5 %,"5,771,542.00",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2111041,2111041,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE EQUIPO MECANICO DEL PROYECT0 ESPECIAL MADRE DE DIOS EN LA PROVINCIA DE TAHUAMANU, REGION MADRE DE DIOS",ACTIVO,PROYECTO DE INVERSION,UEI DEL PROYECTO ESPECIAL MADRE DE DIOS,"26,698,398.00","29,523,295.78","29,523,295.78",SI   ,31.3 %,"9,226,964.15",SI   ,"4,000,000.00","4,000,000.00",No info. disponible,No info. disponible
2111212,2111212,"MEJORAMIENTO DEL CANAL YANAMACHAY DE COTO, DISTRITO DE 27 DE NOVIEMBRE - PROVINCIA DE HUARAL - LIMA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA DIRECCION REGIONAL DE AGRICULTURA DEL GOBIERNO REGIONAL LIMA,"2,031,550.00","4,291,269.46","4,291,269.46",SI   ,62.4 %,"2,678,833.52",SI   ,"1,844,778.00","1,844,778.00","2,784,976.00","33,500.00"
2112599,2112599,"ELECTRIFICACION RURAL DE 21 LOCALIDADES DE LOS DISTRITOS DE CORDOVA, OCOYO, LARAMARCA, QUERCO Y SANTIAGO DE QUIRAHUARA DE LA PROVINCIA DE HUAYTARA - HVCA",ACTIVO,PROYECTO DE INVERSION,GERENCIA REGIONAL DE INFRAESTRUCTURA,"1,782,206.00","2,169,907.74","2,169,907.74",SI   ,93.1 %,"2,020,649.66",SI   ,0.00,No info. disponible,0.00,"110,694.00"
2112981,2112981,MEJORAMIENTO CARRETERA CA-103: EM. PE-06B (SANTA CRUZ DE SUCCHUBAMBA) - ROMERO CIRCA - LA LAGUNA - TONGOD - CATILLUC - EMP. PE - 06 C (EL EMPALME) - CAJAMARCA,ACTIVO,PROYECTO DE INVERSION,UNIDAD EJECUTORA DE INVERSIONES - PROREGION,"93,119,488.00","157,982,575.47","159,855,079.47",SI   ,42.3 %,"67,616,058.32",SI   ,"3,315,286.00","3,315,286.00","6,769,506.00","43,686,862.00"
2114411,2114411,"MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DEL AA.HH. SANTA ROSA, SECTORES 1, 2, 4 Y 5 DISTRITO DE PIURA, PROVINCIA DE PIURA - PIURA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE VEINTISEIS DE OCTUBRE,"5,947,044.00","8,289,591.00","8,289,591.00",SI   ,99.8 %,"8,269,590.67",SI   ,"2,000.00","2,000.00","731,233.00","1,070,286.00"
2115379,2115379,"CONSTRUCCIÓN SISTEMA DE RIEGO POR ASPERSIÓN TANCARPATA - LAYAMPATA - QUISAPATA - ROSASPATA - ABANCAY, PROVINCIA DE ABANCAY – APURÍMAC",ACTIVO,PROYECTO DE INVERSION,,"5,960,514.00","5,787,724.00","5,787,724.00",SI   ,86.9 %,"5,031,313.37",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2115571,2115571,CONSTRUCCION PUENTE CARROZABLE ISPIHUACAZU,ACTIVO,PROYECTO DE INVERSION,DIRECCIÓN EJECUTIVA - PROVIAS DESCENTRALIZADO,"7,905,320.00","7,832,142.01","7,912,807.01",SI   ,49 %,"3,879,578.28",SI   ,0.00,No info. disponible,"80,666.00","4,479,952.00"
2117240,2117240,"CONSTRUCCION DE PISTAS Y VEREDAS EN LA ASOCIACIÓN DE VIVIENDA VIÑAS DEL SUR, DISTRITO DE LOCUMBA, PROVINCIA DE JORGE BASADRE - TACNA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE JORGE BASADRE,"884,556.43","1,195,688.38","1,195,688.38",SI   ,87.7 %,"1,048,997.93",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2121322,2121322,"CONSTRUCCION DE PISTAS, VEREDAS Y GRADERIOS EN LOS JIRONES 26 DE JULIO, EMANCIPACION, SAN BARTOLOME Y VIAS CONEXAS DEL BARRIO MANTO, CIUDAD DE PUNO, PROVINCIA DE PUNO - PUNO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE PUNO,"4,418,901.00","5,715,792.63","5,715,792.63",SI   ,83.5 %,"4,772,747.76",SI   ,"10,000.00","10,000.00","469,073.00","914,404.00"
2121349,2121349,"CONSTRUCCION DE PISTAS, VEREDAS, AREAS VERDES Y PINTADO DE FACHADAS EN LA URBANIZACION PATIBAMBA BAJA , DISTRITO Y, PROVINCIA DE ABANCAY - APURIMAC",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE ABANCAY,"1,258,885.00","1,383,295.83","1,383,295.83",SI   ,111.3 %,"1,539,900.91",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2122527,2122527,"CONSTRUCCION DEL LOCAL MUNICIPAL DEL CENTRO POBLADO ANCOAMAYA DEL DISTRITO DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD PROVINCIAL DE EL COLLAO,"320,455.93","151,856.95","151,856.95",SI   ,59.2 %,"89,828.5",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2126665,2126665,"MEJORAMIENTO DE LAS VEREDAS Y BERMAS LATERALES EN LA AVENIDA PANAMERICANA DE LA CIUDAD DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",ACTIVO,PROYECTO DE INVERSION,,"3,144,545.00","3,228,697.77","3,228,697.77",SI   ,96.2 %,"3,107,295.83",NO,0.00,No info. disponible,No info. disponible,No info. disponible
2130013,2130013,"CONSTRUCCION DE LA TROCHA CARROZABLE BARROJO - TRES TINGOS, DISTRITO DE LOS BANOS DEL INCA - CAJAMARCA - CAJAMARCA",ACTIVO,PROYECTO DE INVERSION,UEI DE LA MUNICIPALIDAD DISTRITAL DE LOS BAÑOS DEL INCA,"1,198,878.02","1,337,805.97","1,337,805.97",SI   ,56.6 %,"757,431.1",NO,"13,000.00","13,000.00","13,000.00","13,000.00"
2130401,2130401,"MEJORAMIENTO DE LAS CALLES DE LA ZONA DE ALTO LIMA, DISTRITO DE PUQUINA - GENERAL SANCHEZ CERRO - MOQUEGUA",ACTIVO,PROYECTO DE INVERSION,,"2,118,378.00","1,931,925.12","1,931,925.12",SI   ,95.1 %,"1,838,178.14",NO,0.00,No info. disponible,No info. disponible,No info. disponible
